tahun	kdprov	urprov	kdpemda	urpemda	kdakun	urakun	kdkelompok	urkelompok	kdjenis	urjenis	kdobjek	urobjek	nilai
2024	24	Provinsi Nusa Tenggara Timur                      	12	Kab. Timor Tengah Selatan	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	95422952200
2024	25	Provinsi Maluku                                   	09	Kota Tual	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	12470433000
2024	31	Provinsi Kepulauan Riau                           	02	Kab. Kepulauan Anambas	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	21111083000
2024	37	Provinsi Papua Pegunungan	05	Kab. Mamberamo Tengah	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	24777764200
2024	37	Provinsi Papua Pegunungan	07	Kab. Lanny Jaya	6	Transfer Ke Daerah Dan Dana Desa	66	Dana Desa	662	Dana Desa	6621	Dana Desa	155443060000
2023	02	Provinsi Sumatera Utara	20	Kota Padang Sidempuan	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	32910291000
2023	02	Provinsi Sumatera Utara	25	Kab. Samosir	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	101652622000
2023	02	Provinsi Sumatera Utara	30	Kab. Labuhanbatu Utara	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	89370339400
2023	04	Provinsi Riau	07	Kab. Rokan Hilir	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	152911787200
2023	05	Provinsi Jambi	06	Kab. Sarolangun	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	129227629400
2023	06	Provinsi Sumatera Selatan	03	Kab. Musi Rawas	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	171930467000
2023	07	Provinsi Bengkulu	09	Kab. Kepahiang	6	TRANSFER KE DAERAH DAN DANA DESA	66	Dana Desa	662	Dana Desa	6621	Dana Desa	85034005600
